model,layer,n_layers,layer_frac,roi,rsa_mean,rsa_sem,noise_ceiling,rsa_noise_corrected
wav2vec2,10,25,0.4166666666666667,AllROI,0.29662378467727774,0.02230250479535183,0.7587117536933498,0.39095714971243856
wav2vec2,11,25,0.4583333333333333,AllROI,0.3239826530262613,0.021298956419191967,0.7587117536933498,0.4270167839751249
wav2vec2,12,25,0.5,AllROI,0.3358858444951498,0.020558300808098506,0.7587117536933498,0.4427054712940503
wav2vec2,13,25,0.5416666666666666,AllROI,0.3533914214318834,0.017405171169773692,0.7587117536933498,0.4657782348983016
wav2vec2,14,25,0.5833333333333334,AllROI,0.3500429003431696,0.017149493091612407,0.7587117536933498,0.4613648050648853
wav2vec2,15,25,0.625,AllROI,0.357045785505041,0.016486366096956702,0.7587117536933498,0.47059477300433256
wav2vec2,16,25,0.6666666666666666,AllROI,0.3425656196120993,0.015861170573764082,0.7587117536933498,0.451509572567601
wav2vec2,17,25,0.7083333333333334,AllROI,0.3474690059489905,0.01638466943767696,0.7587117536933498,0.4579723514991542
wav2vec2,18,25,0.75,AllROI,0.34701117990180874,0.017892962873113146,0.7587117536933498,0.4573689259624427
wav2vec2,19,25,0.7916666666666666,AllROI,0.34371268351592993,0.01860447080882946,0.7587117536933498,0.45302142986814603
wav2vec2,20,25,0.8333333333333334,AllROI,0.35084908889586275,0.018131969941412796,0.7587117536933498,0.46242738060660943
wav2vec2,21,25,0.875,AllROI,0.3638893478569154,0.017730506739729493,0.7587117536933498,0.47961474971954815
wav2vec2,22,25,0.9166666666666666,AllROI,0.11038061301603748,0.008715432593584057,0.7587117536933498,0.14548425337911697
wav2vec2,23,25,0.9583333333333334,AllROI,0.25479876360731935,0.0178334348715601,0.7587117536933498,0.33583078470443983
wav2vec2,24,25,1.0,AllROI,0.25165533013418423,0.018442643532810565,0.7587117536933498,0.33168766518924436
wavlm,0,13,0.0,AllROI,0.28905443853440704,0.018368083049019254,0.7587117536933498,0.3809805728292893
wavlm,1,13,0.08333333333333333,AllROI,0.45622166952616455,0.0173712864210371,0.7587117536933498,0.6013109290917308
wavlm,2,13,0.16666666666666666,AllROI,0.4672336553919857,0.015209436243075117,0.7587117536933498,0.6158249863897964
wavlm,3,13,0.25,AllROI,0.47323705422221846,0.01800388033634233,0.7587117536933498,0.6237376077522686
wavlm,4,13,0.3333333333333333,AllROI,0.4429314583653784,0.021467174147635902,0.7587117536933498,0.5837941170796717
wavlm,5,13,0.4166666666666667,AllROI,0.41673739237278906,0.020012369273707253,0.7587117536933498,0.5492697198167076
wavlm,6,13,0.5,AllROI,0.4040170919234325,0.020804990588439324,0.7587117536933498,0.532504063574485
wavlm,7,13,0.5833333333333334,AllROI,0.397359541511613,0.021474623100154244,0.7587117536933498,0.5237292549868876
wavlm,8,13,0.6666666666666666,AllROI,0.3926014480074931,0.02202226861776542,0.7587117536933498,0.5174579754384189
wavlm,9,13,0.75,AllROI,0.39450240140142656,0.021947306483014108,0.7587117536933498,0.519963476881727
wavlm,10,13,0.8333333333333334,AllROI,0.39828254319450773,0.02003522793252606,0.7587117536933498,0.5249457929914745
wavlm,11,13,0.9166666666666666,AllROI,0.418500433213322,0.01888965543554015,0.7587117536933498,0.5515934492593458
wavlm,12,13,1.0,AllROI,0.39888958939183033,0.015460198574371423,0.7587117536933498,0.525745894208264
whisper,0,7,0.0,AllROI,0.12978399221015757,0.010033924141056487,0.7587117536933498,0.17105836515432798
whisper,1,7,0.16666666666666666,AllROI,0.28176201671755186,0.011497766937370367,0.7587117536933498,0.37136898874435026
whisper,2,7,0.3333333333333333,AllROI,0.3600675615208765,0.016155625949751062,0.7587117536933498,0.4745775451192045
whisper,3,7,0.5,AllROI,0.36840846741760236,0.022410991800618257,0.7587117536933498,0.48557105596983124
whisper,4,7,0.6666666666666666,AllROI,0.3291700092235754,0.02557975621126139,0.7587117536933498,0.4338538418855401
whisper,5,7,0.8333333333333334,AllROI,0.35170499709497105,0.024938241072647173,0.7587117536933498,0.46355548781589123
whisper,6,7,1.0,AllROI,0.29828909956076677,0.021832176908528796,0.7587117536933498,0.39315207403696945
