category,n_stimuli,model,layer,n_layers,layer_pct,rsa_mean,rsa_sem,noise_ceiling
EnvSound,27,ast,0,13,0.0,0.14907213619713622,0.02159334698508421,0.6860385586635586
EnvSound,27,ast,1,13,8.333333333333334,0.321879995004995,0.019861692033345316,0.6860385586635586
EnvSound,27,ast,2,13,16.666666666666668,0.3435102258852259,0.019337983483161174,0.6860385586635586
EnvSound,27,ast,3,13,25.0,0.4098192224442224,0.01812564820477846,0.6860385586635586
EnvSound,27,ast,4,13,33.333333333333336,0.4061845376845377,0.016726302662032663,0.6860385586635586
EnvSound,27,ast,5,13,41.666666666666664,0.3382018398268399,0.018541894022882466,0.6860385586635586
EnvSound,27,ast,6,13,50.0,0.33479209679209687,0.01844203138760669,0.6860385586635586
EnvSound,27,ast,7,13,58.333333333333336,0.25631510156510157,0.01940891193641266,0.6860385586635586
EnvSound,27,ast,8,13,66.66666666666667,0.28829585692085696,0.019513059922170943,0.6860385586635586
EnvSound,27,ast,9,13,75.0,0.3422476412476413,0.02232526832094486,0.6860385586635586
EnvSound,27,ast,10,13,83.33333333333333,0.41357942057942065,0.0216222759073097,0.6860385586635586
EnvSound,27,ast,11,13,91.66666666666667,0.4152307276057276,0.022622242798731918,0.6860385586635586
EnvSound,27,ast,12,13,100.0,0.4119706404706405,0.02234700451784477,0.6860385586635586
Music,24,wav2vec2,0,25,0.0,0.3392519513134801,0.016127959723230167,0.7720217177266305
Music,24,wav2vec2,1,25,4.166666666666667,0.27679165537021444,0.016532613958077307,0.7720217177266305
Music,24,wav2vec2,2,25,8.333333333333334,0.23964834976669852,0.016372150986448612,0.7720217177266305
Music,24,wav2vec2,3,25,12.5,0.23402925186569828,0.015935645901307624,0.7720217177266305
Music,24,wav2vec2,4,25,16.666666666666668,0.23896827956222091,0.015294313766286776,0.7720217177266305
Music,24,wav2vec2,5,25,20.833333333333332,0.2357281431486423,0.015240768468302374,0.7720217177266305
Music,24,wav2vec2,6,25,25.0,0.19497470070347173,0.01717642084527154,0.7720217177266305
Music,24,wav2vec2,7,25,29.166666666666668,0.17049040396113074,0.018422856178408716,0.7720217177266305
Music,24,wav2vec2,8,25,33.333333333333336,0.1855577688674534,0.01836690741461417,0.7720217177266305
Music,24,wav2vec2,9,25,37.5,0.21235344815285168,0.014897702953638693,0.7720217177266305
Music,24,wav2vec2,10,25,41.666666666666664,0.10687749889413678,0.012768999323221624,0.7720217177266305
Music,24,wav2vec2,11,25,45.833333333333336,0.1634246372055193,0.013332754797547976,0.7720217177266305
Music,24,wav2vec2,12,25,50.0,0.18939846748762146,0.014186733679556147,0.7720217177266305
Music,24,wav2vec2,13,25,54.166666666666664,0.2561073044049029,0.010822927765220598,0.7720217177266305
Music,24,wav2vec2,14,25,58.333333333333336,0.22562049628287267,0.011585927901943207,0.7720217177266305
Music,24,wav2vec2,15,25,62.5,0.25305632054337124,0.010669136813909118,0.7720217177266305
Music,24,wav2vec2,16,25,66.66666666666667,0.24058144147486482,0.010409115279498563,0.7720217177266305
Music,24,wav2vec2,17,25,70.83333333333333,0.24542341005408028,0.010883993685499808,0.7720217177266305
Music,24,wav2vec2,18,25,75.0,0.28079810504987085,0.00959516247928796,0.7720217177266305
Music,24,wav2vec2,19,25,79.16666666666667,0.2718765999343617,0.010574414274975385,0.7720217177266305
Music,24,wav2vec2,20,25,83.33333333333333,0.26797129036400735,0.008529055746567586,0.7720217177266305
Music,24,wav2vec2,21,25,87.5,0.3294054593969835,0.0084499440688046,0.7720217177266305
Music,24,wav2vec2,22,25,91.66666666666667,0.27773142506528165,0.015055479887137393,0.7720217177266305
Music,24,wav2vec2,23,25,95.83333333333333,0.1774744367232203,0.014821042697405595,0.7720217177266305
Music,24,wav2vec2,24,25,100.0,0.15689853169903398,0.015146610492263866,0.7720217177266305
Music,24,hubert,0,25,0.0,0.3337324239094762,0.019529398988393627,0.7720217177266305
Music,24,hubert,1,25,4.166666666666667,0.3308254448423967,0.015014589111439592,0.7720217177266305
Music,24,hubert,2,25,8.333333333333334,0.3424795593670181,0.013974945150564794,0.7720217177266305
Music,24,hubert,3,25,12.5,0.3188225910018406,0.011913347532372932,0.7720217177266305
Music,24,hubert,4,25,16.666666666666668,0.299967494756068,0.011003317085509183,0.7720217177266305
Music,24,hubert,5,25,20.833333333333332,0.28774406757894444,0.01084129565920655,0.7720217177266305
Music,24,hubert,6,25,25.0,0.2885249354318575,0.010175752971786424,0.7720217177266305
Music,24,hubert,7,25,29.166666666666668,0.2969660821049928,0.011257469649675538,0.7720217177266305
Music,24,hubert,8,25,33.333333333333336,0.27910817482627237,0.011877457065358447,0.7720217177266305
Music,24,hubert,9,25,37.5,0.25769826343802177,0.012718094300471067,0.7720217177266305
Music,24,hubert,10,25,41.666666666666664,0.2513562591857993,0.012536646079388527,0.7720217177266305
