model,condition,fold,accuracy
bird_mae,frozen,mean,0.6730561852455139
ast,frozen,1,0.8533791303634644
ast,frozen,4,0.855555534362793
ast,frozen,7,0.8556085824966431
ast,frozen,10,0.8745519518852234
ast,frozen,mean,0.859773799777031
audiomae,frozen,1,0.27491408586502075
audiomae,frozen,4,0.4535353481769562
audiomae,frozen,7,0.40811455249786377
audiomae,frozen,10,0.44802868366241455
audiomae,frozen,mean,0.3961481675505638
panns_cnn14,frozen,1,0.8465062975883484
panns_cnn14,frozen,4,0.7484848499298096
panns_cnn14,frozen,7,0.7923627495765686
panns_cnn14,frozen,10,0.821983277797699
panns_cnn14,frozen,mean,0.8023342937231064
sew,frozen,1,0.36655211448669434
sew,frozen,4,0.4060606062412262
sew,frozen,7,0.30310261249542236
sew,frozen,10,0.2795698940753937
sew,frozen,mean,0.33882130682468414
music2vec,frozen,1,0.37457045912742615
music2vec,frozen,4,0.243434339761734
music2vec,frozen,7,0.23508353531360626
music2vec,frozen,10,0.34169653058052063
music2vec,frozen,mean,0.29869621619582176
hubert,frozen,1,0.5532646179199219
hubert,frozen,4,0.5020201802253723
hubert,frozen,7,0.4809069335460663
hubert,frozen,10,0.5304659605026245
hubert,frozen,mean,0.5166644230484962
clap,frozen,1,0.7789232730865479
clap,frozen,4,0.7494949698448181
clap,frozen,7,0.7326968908309937
clap,frozen,10,0.774193525314331
clap,frozen,mean,0.7588271647691727
musicfm,frozen,1,0.6380297541618347
musicfm,frozen,4,0.6777777671813965
musicfm,frozen,7,0.6396181583404541
musicfm,frozen,10,0.6869773268699646
musicfm,frozen,mean,0.6606007516384125
mms,frozen,1,0.28980526328086853
mms,frozen,4,0.26868686079978943
mms,frozen,7,0.3317422568798065
mms,frozen,10,0.4767025113105774
mms,frozen,mean,0.34173422306776047
unispeech_sat,lora,1,0.6357388316151202
unispeech_sat,lora,4,0.6757575757575758
unispeech_sat,lora,7,0.6026252983293556
unispeech_sat,lora,10,0.7048984468339307
unispeech_sat,lora,mean,0.6547550381339956
mert,frozen,1,0.6426116824150085
mert,frozen,4,0.6000000238418579
mert,frozen,7,0.5620524883270264
mert,frozen,10,0.5997610688209534
mert,frozen,mean,0.6011063158512115
wavlm,frozen,1,0.5670102834701538
wavlm,frozen,4,0.4383838474750519
wavlm,frozen,7,0.4331742227077484
wavlm,frozen,10,0.4886499345302582
wavlm,frozen,mean,0.48180457204580307
unispeech_sat,allora,1,0.6414662084765178
unispeech_sat,allora,4,0.7151515151515152
unispeech_sat,allora,7,0.6121718377088305
unispeech_sat,allora,10,0.7156511350059738
unispeech_sat,allora,mean,0.6711101740857093
encodecmae,frozen,1,0.6861397624015808
encodecmae,frozen,4,0.6565656661987305
encodecmae,frozen,7,0.5656324625015259
encodecmae,frozen,10,0.6272401213645935
encodecmae,frozen,mean,0.6338945031166077
music2vec,lora,1,0.6609392898052692
music2vec,lora,4,0.6797979797979798
music2vec,lora,7,0.6682577565632458
music2vec,lora,10,0.7228195937873357
music2vec,lora,mean,0.6829536549884576
music2vec,allora,1,0.6735395189003437
music2vec,allora,4,0.6383838383838384
music2vec,allora,7,0.6909307875894988
music2vec,allora,10,0.7311827956989247
music2vec,allora,mean,0.6835092351431513
